location,landmark_name,safety_type,operating_hours,is_24_7,last_verified
LRT-2 Araneta-Cubao Station,Mercury Drug,Well-Lit Zone,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
Hipodromo,Mercury Drug,Well-Lit Zone,Mo-Su 07:00-23:00,No,2026-07
España Boulevard,Welcome Supermarket,Well-Lit Zone,Unknown,No,2026-07
España Boulevard,Shell,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Uncle John's,24/7 Store,24/7,Yes,2026-07
LRT-2 Betty Go-Belmonte Station,Burger King,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
Anonas Street,Baliwag Lechon,High Foot Traffic,Unknown,No,2026-07
LRT-2 Gilmore Station,Shell,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
Hipodromo,Burger Machine,High Foot Traffic,Unknown,No,2026-07
Hipodromo,Banawe Pares King,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Bulaluhan sa N. Ramirez,High Foot Traffic,Unknown,No,2026-07
España Boulevard,Rose,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,McDonald's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Emily's Place,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,RA Kambingan Ihaw-ihaw,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Leo's Canteen,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Betty Go-Belmonte Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Betty Go-Belmonte Station,Mercury Drug,Well-Lit Zone,Mo-Su 07:00-22:00,No,2026-07
LRT-2 Betty Go-Belmonte Station,Savemore,Well-Lit Zone,Unknown,No,2026-07
Hipodromo,Watsons,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Burger Machine,High Foot Traffic,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,Watsons,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Betty Go-Belmonte Station,TGP,Well-Lit Zone,Unknown,No,2026-07
Anonas Street,Garcia's,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Jollibee,24/7 Store,24/7,Yes,2026-07
LRT-2 Gilmore Station,City Government of San Juan,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Gilmore Station,Mercury Drug,Well-Lit Zone,06:00-23:00,No,2026-07
Hipodromo,Bob's Halu-halo,High Foot Traffic,Unknown,No,2026-07
Recto Legarda,7-Eleven,24/7 Store,24/7,Yes,2026-07
Recto Legarda,TGP,Well-Lit Zone,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,KFC,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Wendy's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Jollibee,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,McDonald's,High Foot Traffic,Unknown,No,2026-07
LRT-2 Araneta-Cubao Station,Mercury Drug,Well-Lit Zone,Mo-Su 07:00-23:00,No,2026-07
LRT-2 Araneta-Cubao Station,Mercury Drug,Well-Lit Zone,Mo-Su 06:00-22:00,No,2026-07
LRT-2 Araneta-Cubao Station,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,Chopsticks,High Foot Traffic,Unknown,No,2026-07
Hipodromo,7-Eleven,24/7 Store,24/7,Yes,2026-07
LRT-2 Araneta-Cubao Station,KFC,High Foot Traffic,Unknown,No,2026-07
Hipodromo,Botika ng Bayan,Well-Lit Zone,Unknown,No,2026-07
Hipodromo,Wilson Pharmacy,Well-Lit Zone,Unknown,No,2026-07
LRT-2 J. Ruiz Station,Burger King,High Foot Traffic,Unknown,No,2026-07
Anonas Street,KFC,High Foot Traffic,Unknown,No,2026-07
